product_id,product_name,Price,Cogs,category_id
001,iPhone 14,1390.99,1093,001
002,iPhone 14 Pro,1817.99,1326,001
003,iPhone 14 Pro Max,995.99,502,001
004,iPhone SE,1041.99,675,001
005,MacBook Air,883.99,446,002
006,MacBook Pro,1813.99,1342,002
007,iMac,663.99,323,002
008,Mac Mini,1281.99,1187,002
009,Mac Studio,481.99,312,002
010,iPad,673.99,300,003
011,iPad Pro,868.99,541,003
012,iPad Air,1499.99,1328,003
013,iPad Mini,1131.99,690,003
014,Apple Watch Series 8,555.99,368,004
015,Apple Watch SE,1237.99,803,004
016,Apple Watch Ultra,1579.99,1367,004
017,Apple Music,1533.99,1285,005
018,iCloud Storage,1185.99,1034,005
019,Apple TV+,418.99,299,005
020,Apple Arcade,1648.99,1258,005
021,Apple Fitness+,663.99,461,005
022,AirPods Pro,208.99,157,006
023,AirPods Max,1986.99,1499,006
024,Magic Keyboard,1755.99,1403,006
025,Magic Mouse,831.99,367,006
026,MagSafe Charger,1494.99,1289,006
